states,population
Uttar Pradesh,235687000
Bihar,126756000
Maharashtra,126385000
West Bengal,99084000
Madhya Pradesh,86579000
Rajasthan,81025000
Tamil Nadu,76860000
Gujarat,71507000
Karnataka,67692000
Andhra Pradesh,53156000
Odisha,46276000
Jharkhand,39466000
Telangana,38090000
Kerala,35776000
Assam,35713000
Punjab,30730000
Haryana,30209000
Chhattisgarh,30180000
Delhi,21359000
Jammu & Kashmir,13603000
Uttarakhand,11637000
Himachal Pradesh,7468000
Tripura,4147000
Meghalaya,3349000
Manipur,3223000
Nagaland,2233000
Puducherry,1646000
Goa,1575000
Arunachal Pradesh,1562000
Dadra and Nagar Haveli and Daman and Diu,1263000
Mizoram,1238000
Chandigarh,1231000
Sikkim,689000
Andaman & Nicobar,403000
Ladakh,300000
Lakshadweep,69000